Code,Name,Purchase Price,Tax,Retail Price,Category Code
1630,DOCE DE LEITE C/CHOCOLATE CREMOSO ( PARREIRA ),,0,16.00,G01
1635,DOCE DE LEITE C/COCO RALADO  ( PARREIRA ),,0,16.00,G01
1806,DOCE DE LEITE COM AMENDOIM  ( BARRA ),,0,10.00,G01
1616,DOCE DE LEITE COM CHOCOLATE  ( BARRA  ),,0,10.00,G01
1620,DOCE DE LEITE CREMOSO DE MORANGO ( PARREIRA),,0,16.00,G01
1618,DOCE DE LEITE CREMOSO GOIABA,,0,16.00,G01
1622,DOCE DE LEITE PURO  ( PACOTE  ),,0,07.00,G01
1813,DOCE DE LEITE PURO  ( R MINAS ),,0,16.00,G01
1733,DOCE DE ORGANICO DE UMBU,,0,12.00,G01
1734,DOCE ORGANICO UMBU,,0,14.00,G01
1637,FARINHA DE MANDIOCA ( AMARELA ),,0,08.00,G01
1638,FARINHA DE MANDIOCA NORMAL,,0,08.00,G01
1781,FIGADA,,0,08.00,G01
1780,FIGO CRISTALIZADO,,0,08.00,G01
1774,FRUTAS GLACEADAS MISTA,,0,08.00,G01
1724,FRUTINHA,,0,05.50,G01
1640,GELÉIA DE ABACAXI (  DOM PEDRITO ),,0,10.00,G01
1641,GELÉIA DE ACEROLA  ( DOM PEDRIO ),,0,10.00,G01
1642,GELÉIA DE CACTO  ( DOM PEDRITO ),,0,10.00,G01
1643,GELÉIA DE CACTO C/ ABACAXI  ( DOM PEDRITO ),,0,10.00,G01
1657,GELÉIA DE CAJU  ( S. VIVENDA ),,0,14.00,G01
1658,GELÉIA DE CAJU C/ PIMENTA ROSA ( S. VIVENDA ),,0,14.00,G01
1644,GELÉIA DE GOIABA ( DOM PEDRITO ),,0,10.00,G01
1659,GELÉIA DE JABUTICABA  ( S. VIVENDA ),,0,14.00,G01
1767,GELÉIA DE JABUTICABA DIET ( DOCE DA MONTANHA ),,0,20.00,G01
1645,GELÉIA DE JACA  ( DOM PEDRITO ),,0,10.00,G01
1646,GELÉIA DE JENIPAPO ( DOM PEDRITO ),,0,10.00,G01
1647,GELÉIA DE LARANJA  ( DOM PEDRITO ),,0,10.00,G01
1648,GELÉIA DE MAÇA  ( DOM PEDRITO ),,0,10.00,G01
1649,GELÉIA DE MANGA  ( DOM PEDRITO  ),,0,10.00,G01
1805,GELEIA DE MANGABA ( D. PEDRITO),,0,10.00,G01
1661,GELÉIA DE MANGABA ( S. VIVENDA ),,0,14.00,G01
1791,GELEIA DE MANGABA D. PEDRITO,,0,10.00,G01
1664,GELÉIA DE MARACUJA DA CAATINGA,,0,12.00,G01
1650,GELÉIA DE MORANGO  ( DOM PEDRITO ),,0,10.00,G01
1766,GELÉIA DE MORANGO DIET ( DOCE DA MONTANHA ),,0,20.00,G01
1789,GELEIA DE PIMENTA,,0,10.00,G01
1651,GELÉIA DE PIMENTA C/ ABACAXI  ( DOM PEDRITO ),,0,10.00,G01
1652,GELÉIA DE PIMENTA C/ JACA ( DOM PEDRITO ),,0,10.00,G01
1653,GELÉIA DE PIMENTA COM MANGA  ( DOM PEDRITO ),,0,10.00,G01
1654,GELÉIA DE TAMARINDO  ( DOM PEDRITO  ),,0,10.00,G01
1655,GELÉIA DE TANGERINA  ( DOM PEDRITO ),,0,10.00,G01
1656,GELÉIA DE UMBU ( DOM PEDRITO ),,0,10.00,G01
1708,GENGIBRE CRISTALIZADO  ( POTE ),,0,05.00,G01
1739,GERGELIM   BALA   ( UNID. ),,0,00.25,G01
1737,GERGELIM   HALAWI  ( LATA  ),,0,31.00,G01
1751,GERGELIM  ( BALA )  PACOTE,,0,12.00,G01
1738,GERGELIM  HALAWI  ( POTE ),,0,15.00,G01
1729,GOIABA CASCÃO NA PALHA,,0,10.00,G01
1519,GOIABA RECHEADA  ( BANDEJA ),,0,08.00,G01
1770,GOIABADA CASCÃO ( DOM PEDRITO ),,0,08.00,G01
1768,GOIABADA EM BARRA DIET  ( DOCE DA MONTANHA ),,0,12.00,G01
1746,GOMA ARABE  ( PACOTE ),,0,12.00,G01
1753,GOMINHA ARABE  ( UNIDADE ),,0,01.00,G01
1725,GRANOLA 01 KG,,0,20.00,G01
1726,GRANOLA 1/2,,0,12.00,G01
1521,JACA COM AÇUCAR MASCAVO  ( BANDEJA ),,0,08.00,G01
1520,JACA CRISTALIZADA  ( BANDEJA ),,0,08.00,G01
1522,JENIPAPO CRISTALIZADO  ( BANDEJA ),,0,08.00,G01
1662,KIT DE GOIABA,,0,18.00,G01
1660,KIT DE MANGABA  ( S. VIVENDA ),,0,18.00,G01
1663,KIT DE UMBU,,0,18.00,G01
1772,LARANJA CRISTALIZADA,,0,08.00,G01
